ant_invit;Deum verum, unum in Trinitáte et Trinitátem in Unitáte, veníte, adorémus.;Le Dieu vrai, un dans la Trinité et Trinité dans l'Unité, venez, adorons.
benedictus_B;Benedícta sit creátrix et gubernátrix ómnium, sancta et indivídua Trínitas, et nunc et semper et per infiníta sæculórum sæcula.;Bénie soit la sainte et indivisible Trinité qui crée et gouverne toute chose, maintenant, toujours et dans l'infini des siècles.
benedictus_C;Benedícta sit creátrix et gubernátrix ómnium, sancta et indivídua Trínitas, et nunc et semper et per infiníta sæculórum sæcula.;Bénie soit la sainte et indivisible Trinité qui crée et gouverne toute chose, maintenant, toujours et dans l'infini des siècles.
2magnificat_A;Te Deum Patrem ingénitum, te Fílium unigénitum, te Spíritum Sanctum Paráclitum, sanctam et indivíduam Trinitátem, toto corde et ore confitémur, laudámus atque benedícimus: Tibi glória in sæcula.;Toi, Dieu le Père inengendré, toi, Fils unique, Toi, Saint Esprit Paraclet, sainte et indivisible Trinité, avec tout notre cœur et notre bouche, nous professons, louons, et bénissons : à toi la gloire sans les siècles.
2magnificat_B;Te Deum Patrem ingénitum, te Fílium unigénitum, te Spíritum Sanctum Paráclitum, sanctam et indivíduam Trinitátem, toto corde et ore confitémur, laudámus atque benedícimus: Tibi glória in sæcula.;Toi, Dieu le Père inengendré, toi, Fils unique, Toi, Saint Esprit Paraclet, sainte et indivisible Trinité, avec tout notre cœur et notre bouche, nous professons, louons, et bénissons : à toi la gloire sans les siècles.
2magnificat_C;Te Deum Patrem ingénitum, te Fílium unigénitum, te Spíritum Sanctum Paráclitum, sanctam et indivíduam Trinitátem, toto corde et ore confitémur, laudámus atque benedícimus: Tibi glória in sæcula.;Toi, Dieu le Père inengendré, toi, Fils unique, Toi, Saint Esprit Paraclet, sainte et indivisible Trinité, avec tout notre cœur et notre bouche, nous professons, louons, et bénissons : à toi la gloire sans les siècles.
ant7;O vera summa sempitérna Trínitas, Pater et Fílius et Spíritus Sanctus.;O véritable, immense et éternelle Trinité, Père, Fils et Saint Esprit.
ant8;Líbera nos, salva nos, vivífica nos, o beáta Trínitas.;Libère-nous, sauve-nous, donne-nous la vie, ô Sainte Trinité.
ant9;Sanctus, sanctus, sanctus Dóminus Deus omnípotens, qui erat et qui est et qui ventúrus est.;Saint, saint, saint, Seigneur Dieu tout puissant, qui était, qui est et qui vient.
LB_matin;LB_1 Cor 12, 4-6;
RB_matin;"R/. Tibi laus, tibi glória, * O beáta Trínitas. Tibi. 
V/. Tibi gratiárum áctio in sæcula sæculórum. * O beáta Trínitas. Glória Patri. Tibi laus.";"R/. A toi la louange, à toi la gloire, * ô bienheureuse Trinité. A toi. 
V/. A toi l'action de grâces dans les siècles des siècles. * O bienheureuse trinité. Gloire au Père. A toi."
LB_soir;LB_Eph 4, 3-6;
RB_soir;"R/. Benedicámus Patrem et Fílium cum Sancto Spíritu. * Laudémus eum in sæcula. Benedicámus. 
V/. Soli Deo honor et glória. * Laudémus eum in sæcula. Glória Patri. Benedicámus.";"R/. Bénissons le Père, le Fils, et le Saint Esprit. * Et louons les dans les siècles. Bénissons. 
V/. A Dieu seul l'honneur et la gloire. * Louons les dans les siècles. Gloire au Père. Bénissons."
HYMNUS_vepres;hy_Imménsa et una, Trínitas;
