intitule;IN NATIVITATE DOMINI;NATIVITE DU SEIGNEUR
RB_3;"V/. Recordátus est Dóminus misericórdiæ suæ, allelúia.
R/. Et veritátis suæ dómui Israel, allelúia.";"V/. Le Seigneur roi trône dans l'éternité. 
R/. Le Seigneur bénit son peuple dans la paix."
LB_6;LB_1 Io 4, 9;
RB_6;"V/. Vidérunt omnes fines terræ, allelúia.
R/. Salutáre Dei nostri, allelúia.";"V/. Chantez pour notre roi, chantez. 
R/. Car il est le roi de toute la terre."
LB_9;LB_Act 10, 36;
RB_9;"V/. Misericórdia et véritas obviavérunt sibi, allelúia.
R/. Iustítia et pax osculátæ sunt, allelúia.";"V/. Jubilez en présence du roi, le, Seigneur
R/. Car il vient juger la terre."
HYMNUS_vepres;hy_Christe, redémptor ómnium,;
ant7;Tecum princípium in die virtútis tuæ, in splendóribus sanctórum, ex útero ante lucíferum génui te.;Avec toi la souveraineté, au jour de ta puissance, dans les splendeurs des Saints, de mon sein, avant l'aurore, je t'ai engendré.
ps8;ps109;
ant8;Apud Dóminum misericórdia, et copiósa apud eum redémptio.;Auprès du Seigneur est la miséricorde : et abondante auprès de lui la rédemption.
ps8;ps129;
ant9;In princípio et ante sæcula Deus erat Verbum: ipse natus est hódie Salvátor mundi.;Au commencement, et avant les siècles le Verbe était Dieu : c'est lui qui nous est né comme Sauveur du monde.
ps9;NT6;
LB_soir;LB_1 Io 1, 1-3;
RB_soir;"R/. Verbum caro factum est, * Allelúia, allelúia. Verbum.
V/. Et habitávit in nobis. * Allelúia, allelúia. Glória Patri. Verbum.";"R/. Ton trône, ô Dieu, * demeure pour les siècles des siècles. Ton trône. 
V/. Le sceptre d'équité, le sceptre de ton règne. * * demeure pour les siècles des siècles. Gloire au Père. Ton trône. "
2magnificat_A;"Hódie Christus natus est; hódie Salvátor appáruit; hódie in terra canunt ángeli, lætántur archángeli; hódie exsúltant iusti, dicéntes: Glória in excélsis Deo, allelúia.";"Aujourd'hui le Christ est né ; aujourd'hui le Sauveur est apparu ; aujourd'hui sur la terre chantent les Anges ; se réjouissent les Archanges, aujourd'hui les justes tressaillent d'allégresse en disant : Gloire à Dieu au plus haut des cieux."
2magnificat_B;"Hódie Christus natus est; hódie Salvátor appáruit; hódie in terra canunt ángeli, lætántur archángeli; hódie exsúltant iusti, dicéntes: Glória in excélsis Deo, allelúia.";"Aujourd'hui le Christ est né ; aujourd'hui le Sauveur est apparu ; aujourd'hui sur la terre chantent les Anges ; se réjouissent les Archanges, aujourd'hui les justes tressaillent d'allégresse en disant : Gloire à Dieu au plus haut des cieux."
2magnificat_C;"Hódie Christus natus est; hódie Salvátor appáruit; hódie in terra canunt ángeli, lætántur archángeli; hódie exsúltant iusti, dicéntes: Glória in excélsis Deo, allelúia.";"Aujourd'hui le Christ est né ; aujourd'hui le Sauveur est apparu ; aujourd'hui sur la terre chantent les Anges ; se réjouissent les Archanges, aujourd'hui les justes tressaillent d'allégresse en disant : Gloire à Dieu au plus haut des cieux."
oratio_vepres;Deus, qui humánæ substántiæ dignitátem et mirabíliter condidísti et mirabílius reformásti, da, quæsumus, nobis eius divinitátis esse consórtes, qui humanitátis nostræ fíeri dignátus est párticeps. Qui tecum vivit.;Dieu, qui a merveilleusement créé l'homme et, plus merveilleusement encore, rétabli sa dignité, fais-nous participer à la divinité de ton Fils, puisqu'il a voulu prendre notre humanité.
