intitule;S. IOSEPH, SPONSI B. M. V.;St JOSEPH, EPOUX DE LA BIENHEUREUSE VIERGE MARIE
ant1;Venérunt pastóres festinántes, et invenérunt Maríam et Ioseph et Infántem pósitum in præsépio (T.P. allelúia). ;Les bergers s'y rendirent en toute hâte, et trouvèrent Marie, Joseph et le nouveau-né couché dans la crèche. (T.P. alléluia). 
ps1;ps62;
ant2;Erant Ioseph et María, mater Iesu, mirántes super iis quæ dicebántur de illo, et benedíxit illis Símeon (T.P. allelúia). ;Joseph et Marie, la mère de Jésus, étaient dans l'étonnement pour les choses que l'on disait de lui. (T.P. alléluia).
ps2;AT41;
ant3;Consúrgens Ioseph accépit Púerum et matrem eius nocte, et secéssit in Ægýptum, et erat ibi usque ad óbitum Heródis (T.P. allelúia) ;"Joseph prit avec lui l'enfant et sa mère, de nuit, et se retira en Egypte ; et il resta là jusqu'à la mort d'Hérode. (T.P. alléluia)."
ps3;ps149;
LB_matin;LB_2 Sam 7, 28-29;
RB_matin;"Tempore Quadragesimæ :
R/. Constítuit eum * Dóminum domus suæ. Constítuit.
V/. Et príncipem omnis possessiónis suæ. * Dóminum domus suæ. Glória Patri. Constítuit.

Tempore paschali:
R/. Constítuit eum dóminum domus suæ, * Allelúia, allelúia. Constítuit.
V/. Et príncipem omnis possessiónis suæ. * Allelúia, allelúia. Glória Patri. Constítuit.";"Au temps du Carême :
R/. Il l'établit * seigneur sur sa maison. Il l'établit.
V/. et gouverneur de tous ses domaines. * seigneur sur sa maison. Gloire au Père. Il l'établit.

Au temps Pascal :
R/.  Il l'établit seigneur sur sa maison, * Allelúia, allelúia. Iustus.
V/. et gouverneur de tous ses domaines. * Allelúia, allelúia. Gloire au Père. Il l'établit."
benedictus;Ioseph habitávit in civitáte Názareth, ut adimplerétur quod dictum est per prophétas de Christo: Nazaræus vocábitur (T.P. allelúia). ;Joseph vint habiter dans la ville de Nazareth, afin que s'accomplît ce qu'avaient dit les prophètes du Christ : Il sera appelé Nazaréen. (T.P. alléluia).
preces_matin;preces_II;
HYMNUS_tertiam;;
HYMNUS_sextam;;
HYMNUS_nonam;;
ant4;Ibant paréntes Iesu per omnes annos in Ierúsalem, in die sollémni Paschæ (T.P. allelúia).;Les parents de Jésus se rendaient chaque année à Jérusalem, pour la fête de la Pâque. (T.P. alléluia).
ant5;Cum redírent, remánsit puer Iesus in Ierúsalem, et non cognovérunt paréntes eius. ;Tandis qu’ils s’en retournaient, Jésus-enfant resta à Jérusalem et ses parents ne s'en aperçurent pas. (T.P. alléluia).
ant6;Non inveniéntes Iesum, paréntes eius regréssi sunt in Ierúsalem, requiréntes eum. ;N'ayant point trouvé Jésus, ses parents s'en retournèrent à Jérusalem en le recherchant. (T.P. alléluia).
LB_3;LB_Prov 2, 7-8;
RB_3;"V/. Constítuit eum dóminum domus suæ (T.P. allelúia).
R/. Et príncipem omnis possessiónis suæ (T.P. allelúia).";"R/. Il l'établit seigneur sur sa maison. (T.P. alléluia).
V/. et gouverneur de tous ses domaines. (T.P. alléluia)."
LB_6;LB_Cf. Sap 10, 10;
RB_6;"V/. Glória et divítiæ in domo eius (T.P. allelúia).
R/. Et iustítia eius manet in sæculum sæculi (T.P. allelúia).";"V/. Il a dans sa maison bien-être et richesse, (T.P. alléluia).
R/. et sa justice subsiste à jamais. (T.P. alléluia)."
LB_9;LB_Sir 2, 18-19;
RB_9;"V/. Magna est glória eius in salutári tuo (T.P. allelúia).
R/. Glóriam et magnum decórem impónes super eum (T.P. allelúia).";"V/. Grande est sa gloire en votre salut. (T.P. alléluia).
R/. de gloire et grande splendeur vous le revêtirez. (T.P. alléluia)."
HYMNUS_vepres;hy_Te, Ioseph, célebrent ágmina cælitum;
ant7;Invenérunt Iesum paréntes eius in templo, sedéntem in médio doctórum, audiéntem et interrogántem eos (T.P. allelúia). ;Les parents de Jésus le trouvèrent dans le temple, assis au milieu des docteurs, les écoutant et les interrogeant. (T.P. alléluia).
ps8;ps14;
ant8;Dixit mater Iesu ad illum: Fili, quid fecísti nobis sic? Ecce pater tuus et ego doléntes quærebámus te. ;La mère Jésus lui dit : Mon enfant, pourquoi nous avez-vous fait cela ? Voyez, votre père et moi, nous vous cherchions tout affligés. (T.P. alléluia).
ps8;ps111;
ant9;Descéndit Iesus cum eis, et venit Názareth, et erat súbditus illis (T.P. allelúia). ;Jésus descendit avec eux, et il vint à Nazareth, et il leur était soumis. (T.P. alléluia).
ps9;NT11;
LB_soir;LB_Col 3, 23-24;
RB_soir;"Tempore Quadragesimæ :
R/. Iustus germinábit * Sicut lílium. Iustus.
V/. Et florébit in ætérnum ante Dóminum. * Sicut lílium. Glória Patri. Iustus.

Tempore paschali:
R/. Iustus germinábit sicut lílium, * Allelúia, allelúia. Iustus.
V/. Et florébit in ætérnum ante Dóminum. * Allelúia, allelúia. Glória Patri. Iustus.";"Au temps du Carême :
R/. Le juste s’épanouira * comme le lis. Le juste.
V/. et il fleurira pour l’éternité devant le Seigneur. * comme le lis. Gloire au Père. Le juste.

Au temps Pascal :
R/. Le juste s’épanouira comme le lis : * Alléluia, alléluia. Le juste.
V/. et il fleurira pour l’éternité devant le Seigneur. * Alléluia, alléluia. Gloire au Père. Le juste."
magnificat;Ipse Iesus erat incípiens quasi annórum trigínta, ut putabátur fílius Ioseph (T.P. allelúia). ;Jésus avait environ trente ans lorsqu'il commença (son ministère), étant, comme on le croyait, fils de Joseph. (T.P. alléluia).
preces_soir;preces_III;
