ant_invit;Cor Iesu, amóre nostri vulnerátum, veníte, adorémus.;"Le cœur de Jésus a été blessé par amour pour nous; venez, adorons.";
ant2;Veníte ad me, omnes qui laborátis et oneráti estis, et ego refíciam vos.;Venez à moi, vous tous qui peinez et ployez sous le fardeau, et moi je vous soulagerai.;Mt 11,28
ps2;AT41;;
ant3;Fili, præbe mihi cor tuum, et óculi tui custódiant vias meas.;Mon fils, donne-moi ton cœur, et que tes yeux gardent mes voies.;Pr 23,26
ps3;ps149;;
ant4;Pópule meus, quid feci tibi aut quid moléstus fui? Respónde mihi.;Mon peuple, que t'ai-je fait, en quoi t'ai-je contristé ? Réponds-moi.;
ps4;ps122;;
ant5;Contrítum est cor meum in médio mei, contremuérunt ómnia ossa mea.;Mon cœur est brisé au-dedans de moi, Tous mes os tremblent;Jr 23,9
ps5;ps123;;
ant6;Unus mílitum láncea latus Iesu apéruit, et contínuo exívit sanguis et aqua.;D'un coup de lance, un soldat lui ouvrit le côté : il en sortit aussitôt du sang et de l'eau.;Jn 19,34
LB_3;LB_Ier 31, 2-4;;
RB_3;"V/. Hauriétis aquas in gáudio. 
R/. De fóntibus Salvatóris.";"V/. Dans la joie, vous puiserez les eaux
R/. Aux sources du Sauveur.";
LB_6;LB_Ier 32, 40;;
RB_6;"V/. Sustínui quid simul contristarétur, et non fuit. 
R/. Et qui consolarétur, et non invéni.";"V/. J'espérais un secours, mais en vain
R/. Des consolateurs, je n'en ai point trouvé";
LB_9;LB_Rom 5, 8-9;;
RB_9;"V/. Vulnerátus est propter iniquitátes nostras. 
R/. Et eius livóre sanáti sumus.";"V/. A cause de nos iniquités, il a été transpercé.
R/. Et par ses blessures, nous sommes guéris.";
oratio;Concéde, quæsumus, omnípotens Deus, ut qui, dilécti Fílii tui corde gloriántes, eius præcípua in nos benefícia recólimus caritátis, de illo donórum fonte cælésti supereffluéntem grátiam mereámur accípere. Per Dóminum.;Accorde-nous, nous t'en prions, Dieu tout puissant, en glorifiant le Cœur de ton Fils bien aimé, et en recueillant les bénéfices conséquents de Charité en nous, nous puissions mériter de recevoir de cette fontaine de dons célestes ta grâce surabondante.;
benedictus_A;Per víscera misericórdiæ suæ visitávit nos Deus, et fecit redemptiónem pópuli sui, allelúia.;Par les entrailles de sa miséricorde, Dieu nous a visités, et a donné la rédemption à son peuple, alléluia.;
benedictus_B;Per víscera misericórdiæ suæ visitávit nos Deus, et fecit redemptiónem pópuli sui, allelúia.;Par les entrailles de sa miséricorde, Dieu nous a visités, et a donné la rédemption à son peuple, alléluia.;
benedictus_C;Per víscera misericórdiæ suæ visitávit nos Deus, et fecit redemptiónem pópuli sui, allelúia.;Par les entrailles de sa miséricorde, Dieu nous a visités, et a donné la rédemption à son peuple, alléluia.;
2magnificat_A;Suscépit nos Dóminus in sinum et cor suum, recordátus misericórdiæ suæ, allelúia.;;
2magnificat_B;Suscépit nos Dóminus in sinum et cor suum, recordátus misericórdiæ suæ, allelúia.;;
2magnificat_C;Suscépit nos Dóminus in sinum et cor suum, recordátus misericórdiæ suæ, allelúia.;;
ant7;Suávi iugo tuo domináre, Dómine, in médio inimicórum tuórum.;De ton joug suave, règne, Seigneur, au milieu de tes ennemis.;Mt 11,30 Ps109,2
ps7;ps109;;
ant8;Miséricors et miserátor Dóminus: escam dedit timéntibus se.;Le Seigneur est miséricordieux et compatissant, il nourrit ceux qui le craignent.;Ps 110, 4-3
ps8;ps110;;
ant9;Ecce Agnus Dei, ecce qui tollit peccáta mundi.;Voici l'Agneau de Dieu, voici celui qui prend les péchés du monde.;
ps9;NT5;;
LB_matin;LB_Ier 31, 33;;
RB_matin;"R/. Tóllite iugum meum super vos, * Et díscite a me. Tóllite. 
V/. Quia mitis sum et húmilis corde. * Et díscite a me. Glória Patri. Tóllite.";"R/. Prenez mon joug sur vous, * Et recevez mes leçons. Prenez. 
V/. Car je suis doux et humble de coeur. * Et recevez mes leçons. Gloire au Père. Prenez.";
LB_soir;LB_Eph 2, 4-7;
RB_soir;"R/. Christus diléxit nos et lavit nos * In sánguine suo. Christus. 
V/. Et fecit nos regnum et sacerdótes Deo et Patri. * In sánguine suo. Glória Patri. Christus.";"R/. Le Christ nous a aimés et nous a lavés * Dans son sang. Le Christ. 
V/. Et nous a faits rois et prêtre en Dieu son Père. *Dans son sang. Gloire au Père. Le Christ. "
HYMNUS_vepres;hy_Auctor beáte sæculi;
