intitule;SACRUM TRIDUUM PASCHALE<br>FERIA SEXTA ;TRIDUUM PASCAL<br>VENDREDI SAINT
psl5;ps147;
LB_matin;LB_Is 52, 13-15;
RB_matin;Christus factus est pro nobis oboediens usque ad mortem, mortem autem crucis.;Le Christ s'est fait pour nous obéissant jusqu'à la mort, la mort sur une croix.
benedictus;Posuerunt super caput eius causam ipsius scriptam: Iesus Nazarenus, Rex Iudaeorum.;
oratio;Respice, quaesumus, Domine, super hanc familiam tuam, pro qua Dominus noster Iesus Christus non dubitavit manibus tradi nocentium et crucis subire tormentum. Qui tecum.;Regarde, Seigneur, nous t'en prions, la famille qui t'appartient : c'est pour elle que Jésus, le Christ, notre seigneur, ne refusa pas d'être livré aux mains des méchants ni de subir le supplice de la croix.
;;
;;
;;
;;
ps4;ps39;
ps5;ps53;
ps6;ps87;
ps7;ps115;
ps8;ps142;
ps9;NT5;
