HYMNUS_laudes;hy_En acétum, fel, arúndo;;
ant5;Sicut novit me Pater, et ego agnósco Patrem, et ánimam meam pono pro óvibus meis.;Comme mon Père me connaît, et que je connais mon Père, et je donne ma vie pour mes brebis. ;Jn 10,15
ant6;"Mihi vívere Christus est, et mori lucrum; gloriári me opórtet in cruce Dómini mei Iesu Christi.";Pour moi, vivre c'est le Christ, et la mort m'est un gain. Je me glorifievdans la croix de mon Seigneur Jésus- Christ, ;Phlp 1,21, Gal 6,14
LB_3;LB_1 Tim 2, 4-6;;
RB_3;"V/. Oblátus est, quia ipse vóluit. 
R/. Et non apéruit os suum.";"V/. Maltraité, il s'humilie.
R/. Et lui n'ouvre pas la bouche.";
oratio_3;Deus, qui pro nobis Fílium tuum crucis patíbulum subíre voluísti, ut inimíci a nobis expélleres potestátem, concéde nobis fámulis tuis, ut resurrectiónis grátiam consequámur. Per Dóminum.;O Dieu qui as voulu que ton Fils souffrît pour nous le supplice de la croix afin de nous délivrer de la puissance de l'ennemi, accorde-nous, à nous qui sommes tes serviteurs, la grâce de parvenir à la résurrection.;
LB_6;LB_Rom 15, 3;;
RB_6;"V/. Vere languóres nostros ipse tulit. 
R/. Et iniquitátes nostras ipse portávit.";"V/. Vraiment c'était nos maladies qu'il portait,
R/. Et nos iniquités dont il s'était chargé.";
oratio_6;Deus, qui pro nobis Fílium tuum crucis patíbulum subíre voluísti, ut inimíci a nobis expélleres potestátem, concéde nobis fámulis tuis, ut resurrectiónis grátiam consequámur. Per Dóminum.;O Dieu qui as voulu que ton Fils souffrît pour nous le supplice de la croix afin de nous délivrer de la puissance de l'ennemi, accorde-nous, à nous qui sommes tes serviteurs, la grâce de parvenir à la résurrection.;
LB_9;LB_Hebr 9, 28;;
RB_9;"V/. Adorémus crucis signáculum. 
R/. Per quod salútis súmpsimus sacraméntum.";"V/. Adorons le sceau de la croix. 
R/. Par le mystère duquel nous obtenons le salut.";
oratio_9;Deus, qui pro nobis Fílium tuum crucis patíbulum subíre voluísti, ut inimíci a nobis expélleres potestátem, concéde nobis fámulis tuis, ut resurrectiónis grátiam consequámur. Per Dóminum.;O Dieu qui as voulu que ton Fils souffrît pour nous le supplice de la croix afin de nous délivrer de la puissance de l'ennemi, accorde-nous, à nous qui sommes tes serviteurs, la grâce de parvenir à la résurrection.;
HYMNUS_vesperas;hy_Vexílla regis pródeunt;;
ant7;Dixérunt ímpii: Opprimámus virum iustum, quóniam contrárius est opéribus nostris.;Les impies dirent : opprimons l'homme juste, car il contrarie nos actions.;
ant8;Ipse peccáta multórum tulit, et pro transgressóribus rogávit.;Lui-même a porté la faute de beaucoup, et il intercédera pour les pécheurs.;Is 53,12
ant9;In Christo habémus redemptiónem per sánguinem eius, remissiónem peccatórum.;Le Christ, par le sang duquel nous avons la rédemption, la rémission des péchés. ;Col 1,14
LB_soir;LB_Eph 4, 32 - 5, 2;;
RB_soir;"R/. Adorámus te, Christe, * Et benedícimus tibi. Adorámus. 
V/. Quia per crucem tuam redemísti mundum. *Et benedícimus tibi. Glória Patri. Adorámus.";"R/. Nous t'adorons, ô Christ * Et nous te bénissons. Nous t'adorons. 
V/. Car par ta croix tu a racheté le monde. * Et nous te bénissons. Gloire au Père. Nous t'adorons.";
magnificat;"Magíster dicit: Tempus meum prope est; apud te fácio Pascha cum discípulis meis.";Le maître (te) fait dire : Mon temps est proche, je ferai chez toi la pâque avec mes disciples. ;Mt 26,18
oratio_vesperas;Deus, qui pro nobis Fílium tuum crucis patíbulum subíre voluísti, ut inimíci a nobis expélleres potestátem, concéde nobis fámulis tuis, ut resurrectiónis grátiam consequámur. Per Dóminum.;O Dieu qui as voulu que ton Fils souffrît pour nous le supplice de la croix afin de nous délivrer de la puissance de l'ennemi, accorde-nous, à nous qui sommes tes serviteurs, la grâce de parvenir à la résurrection.;
preces_soir;preces_XIV
