Psalmus 9;Psaume 9
"Constitue, Domine, terrorem super eos; * sciant gentes quoniam homines sunt.";"Répands sur elles l'épouvante, Seigneur ; que les peuples sachent qu'ils sont des hommes!"
Ut quid, Domine, stas a longe, * abscondis te in opportunitatibus, in tribulatione?;Pourquoi, Seigneur, te tiens-tu éloigné? et te caches-tu au temps de la détresse?
"Dum superbit, impius insequitur pauperem; * comprehendantur in consiliis, quae cogitant.";"Quand le méchant s'enorgueillit, les malheureux sont consumés; ils sont pris dans les intrigues qu'il a conçues."
Quoniam gloriatur peccator in desideriis animae suae, * et avarus sibi benedicit.;"Car le méchant se glorifie de sa convoitise; le ravisseur maudit, méprise le Seigneur."
"Spernit Dominum peccator in arrogantia sua: * "" Non requiret; non est Deus "".";"Dans son arrogance, le méchant dit: "" Il ne punit pas! "" "" ll n'y a pas de Dieu "":"
"Hae sunt omnes cogitationes eius; * prosperantur viae illius in omni tempore.";voilà toutes ses pensées. Ses voies sont prospères en tout temps! 
"Excelsa nimis iudicia tua a facie eius; * omnes inimicos suos aspernatur.";"Tes jugements sont trop élevés pour qu'il s'en inquiète; tous ses adversaires, il les dissipe d'un souffle."
"Dixit enim in corde suo: "" Non movebor; * in generationem et generationem ero sine malo "".";"Il dit dans son coeur: "" Je ne serai pas ébranlé, je suis pour toujours à l'abri du malheur. """
Cuius maledictione os plenum est et fraudulentia et dolo, * sub lingua eius labor et nequitia.;"Sa bouche est pleine de malédiction, de tromperie et de violence; sous sa langue est la malice et l'iniquité."
Sedet in insidiis ad vicos, * in occultis interficit innocentem.;Il se met en embuscade près des hameaux, dans les lieux couverts il assassine l'innocent. 
"Oculi eius in pauperem respiciunt; * insidiatur in abscondito quasi leo in spelunca sua. ";"Ses yeux épient l'homme sans défense; il est aux aguets dans le lieu couvert, comme un lion dans son fourré; "
"Insidiatur, ut rapiat pauperem; * rapit pauperem, dum attrahit in laqueum suum.";"il est aux aguets pour surprendre le pauvre; il se saisit du pauvre en le tirant dans son filet."
Irruit et inclinat se, * et miseri cadunt in fortitudine brachiorum eius.;II se courbe, il se baisse, et les malheureux tombent dans ses griffes.
"Dixit enim in corde suo: "" Oblitus est Deus; * avertit faciem suam, non videbit in finem "".";"Il dit dans son coeur: "" Dieu a oublié! Il a couvert sa face, il ne voit jamais rien. """
Exsurge, Domine Deus, exalta manum tuam, * ne obliviscaris pauperum.;"Lève-toi, seigneur; ô Dieu, lève ta main! N'oublie pas les affligés."
"Propter quid spernit impius Deum? * Dixit enim in corde suo: "" Non requires "".";"Pourquoi le méchant méprise-t-il Dieu? Pourquoi dit-il en son coeur: "" Tu ne punis pas? """
Vidisti: + tu laborem et dolorem consideras, * ut tradas eos in manus tuas.;"Tu as vu pourtant; car tu regardes la peine et la souffrance; pour prendre en main leur cause. "
Tibi derelictus est pauper, * orphano tu factus es adiutor.;A toi s'abandonne le malheureux, à l'orphelin ta viens en aide.
"Contere brachium peccatoris et maligni; * quaeres peccatum illius et non invenies.";"Brise le bras du méchant; l'impie, - si tu cherches son crime, ne le trouveras-tu pas?"
Dominus rex in aeternum et in saeculum saeculi: * perierunt gentes de terra illius.;Le seigneur est roi à jamais et pour l'éternité, les nations seront exterminées de sa terre.
"Desiderium pauperum exaudisti, Domine; * confirmabis cor eorum, intendes aurem tuam";"Tu as entendu le désir des affligés, Seigneur; tu affermis leur coeur, tu prêtes une oreille attentive,"
iudicare pupillo et humili, * ut non apponat ultra inducere timorem homo de terra.;pour rendre justice à l'orphelin et à l'opprimé, afin que l'homme, tiré de la terre, cesse d'inspirer l'effroi.
