Psalmus 68 (69);Psaume 68 (69)
Non me demergat fluctus aquarum, + neque absorbeat me profundum, * neque urgeat super me puteus os suum.;Que les flots ne me submergent plus,  que 1'abîme ne m'engloutisse pas,  que la fosse ne se ferme pas sur moi!
"Exaudi me, Domine, quoniam benigna est misericordia tua; * secundum multitudinem miserationum tuarum respice in me.";"Exauce-moi, Yahweh, car ta bonté est compatissante;  dans ta grande miséricorde tourne-toi vers moi,"
"Et ne avertas faciem tuam a puero tuo; * quoniam tribulor, velociter exaudi me.";"Et ne cache pas ta face à ton serviteur;  je suis dans l'angoisse, hâte-toi de m'exaucer."
Accede ad animam meam, vindica eam, * propter inimicos meos redime me.;"Approche-toi de mon âme, délivre-la;  sauve-moi à cause de mes ennemis."
Tu scis opprobrium meum * et confusionem meam et reverentiam meam.;"Tu connais mon opprobre, ma honte, mon ignominie;  "
"In conspectu tuo sunt omnes, qui tribulant me; * opprobrium contrivit cor meum, et elangui.";"tous mes persécuteurs sont devant toi. L'opprobre a brisé mon c&oelig;ur et je suis malade; "
Et sustinui, qui simul contristaretur, et non fuit, * et qui consolaretur, et non inveni.;" j'attends de la pitié, mais en vain;  des consolateurs, et je n'en trouve aucun."
Et dederunt in escam meam fel * et in siti mea potaverunt me aceto.;"Pour nourriture ils me donnent l'herbe amère;  dans ma soif, ils m'abreuvent de vinaigre."
Fiat mensa eorum coram ipsis in laqueum * et in retributiones et in scandalum.;Que leur table soit pour eux un piège,  un filet an sein de leur sécurité!
Obscurentur oculi eorum, ne videant, * et lumbos eorum semper infirma.;"Que leurs yeux s'obscurcissent pour ne plus voir;  fais chanceler leurs reins pour toujours."
Effunde super eos iram tuam, * et furor irae tuae comprehendat eos.;Déverse sur eux ta colère,  et que le feu de ton courroux les atteigne!
Fiat commoratio eorum deserta, * et in tabernaculis eorum non sit qui inhabitet.;Que leur demeure soit dévastée  qu'il n'y ait plus d'habitants dans leurs tentes!
Quoniam, quem tu percussisti, persecuti sunt, * et super dolorem eius, quem vulnerasti, addiderunt.;Car ils persécutent celui que tu frappes  ils racontent les souffrances de celui que tu blesses.
Appone iniquitatem super iniquitatem eorum, * et non veniant ad iustitiam tuam.;Ajoute l'iniquité à leur iniquité,  et qu'ils n'aient point part à ta justice.
Deleantur de libro viventium * et cum iustis non scribantur.;Qu'ils soient effacés du livre de vie  et qu'ils ne soient point inscrits avec les justes.
"Ego autem sum pauper et dolens; * salus tua, Deus, suscipit me.";"Moi, je suis malheureux et souffrant;  que ton secours ô Dieu me relève!"
Laudabo nomen Dei cum cantico * et magnificabo eum in laude.;"Je célébrerai le nom de Dieu par des cantiques,  je l'exalterai par des actions de grâces;"
Et placebit Domino super taurum, * super vitulum cornua producentem et ungulas.;Et Yahweh les aura pour plus agréables qu'un taureau,  qu'un jeune taureau avec cornes et sabots.
"Videant humiles et laetentur; * quaerite Deum, et vivet cor vestrum,";Les malheureux, en le voyant, se réjouiront,  et vous qui cherchez Dieu, votre coeur revivra.
quoniam exaudivit pauperes Dominus * et vinctos suos non despexit.;Car Yahweh écoute les pauvres,  et il ne méprise point ses captifs.
Laudent illum caeli et terra, * maria et omnia reptilia in eis.;Que les cieux et la terre le célèbrent,  les mers et tout ce qui s'y meut!
"Quoniam Deus salvam faciet Sion + et aedificabit civitates Iudae; * et inhabitabunt ibi et possidebunt eam.";"Car Dieu sauvera Sion et bâtira les villes de Juda,  on s'y établira et l'on en prendra possession;"
"Et semen servorum eius hereditabunt eam; * et, qui diligunt nomen eius, habitabunt in ea.";La race de ses serviteurs l'aura en héritage,  et ceux qui aiment son nom y auront leur demeure.
