#JOUR;#JOUR
<center><b>RITUS INITIALES</b></center>;<center><b>RITES INITIAUX</b></center>
Sanctus, Sanctus, Sanctus Dóminus Deus Sábaoth. Pleni sunt caeli et terra glória tua. Hosánna in excélsis. Benedíctus qui venit in nómine Dómini. Hosánna in excélsis.;Saint, Saint, Saint le Seigneur Dieu des Armées. Le ciel et la terre sont emplis de ta gloire. Hosanna au plus des cieux. Béni soit qui vient au nom du Seigneur. Hosanna au plus haut des cieux.
<center><font color=red>Prex Eucharistia</font></center>;<center><font color=red>Prière Eucharistique</font></center>
#CANON;#CANON
<b>Per ipsum, et cum ipso, et in ipso, est tibi Deo Patri omnipoténti, in unitáte Spíritus Sancti, omnis honor et glória per ómnia saecula saeculórum.</b>;<b>Par lui, avec lui et en lui, il est Dieu le Père tout puissant, dans l'unité de l'Esprit Saint, tout honneur et toute gloire pour les siècles des siècles.</b>
R/. Amen.;R/. Amen.
<center><b>RITUS COMMUNIONIS</b></center>;<center><b>RITE DE COMMUNION</b></center>
<center><font color=red>Pater Noster</font></center>;<center><font color=red>Notre Père</font></center>
<b>Praecéptis salutáribus móniti, et divína institutióne formáti, audémus dícere: </b>;<b>Averti de la règle du salut, et formés par les institutions divines, nous osons dire :</b>
Pater noster, qui es in cælis: ;Notre Père, qui es aux Cieux,
"sanctificétur nomen tuum; ";"que ton nom soit sanctifié;"
"advéniat regnum tuum; ";"que ton règne arrive; "
fiat volúntas tua, sicut in cælo et in terra.;que ta volonté soit faite au Ciel comme sur la terre.
"Panem nostrum cotidiánum da nobis hódie; ";Donne-nous aujourd'hui notre pain quotidien,
et dimítte nobis débita nostra, ;et remets-nous nos dettes,
"sicut et nos dimíttimus debitóribus nostris; ";"comme nous les remettons nous-mêmes à nos débiteurs ;"
"et ne nos indúcas in tentatiónem; ";et ne nous abandonne pas dans l’épreuve, 
sed líbera nos a malo.;mais délivre-nous du malin.
<b>Líbera nos, quaesumus, Dómine, ab ómnibus malis, da propítius pacem in diébus nostris, ut, ope misericórdiae tuae adiúti, et a peccáto simus semper líberi et ab omni perturbatióne secúri: exspectántes beátam spem et advéntum Salvatóris nostri Iesu Christi. </b>;"<b>Libère nous, nous t'en prions, Seigneur, de tous maux, donne la paix propice à nos jours, pour, que secourus par le pouvoir de ta miséricorde, et que nous soyons pour toujours libérés du péché et assurés devant tous les troubles ; dans l'attente de l'éspérance bienheureuse de l'avènement de notre Sauveur Jésus Christ.</b>"
R/. Quia tuum est regnum, et potéstas, et glória in saecula.;R/. Car c'est à Toi le règne, la puissance et la gloire dans les siècles.
<center><font color=red>Ritus Pacis</font></center>;<center><font color=red>Rite de Paix</font></center>
"<b>Dómine Iesu Christe, qui dixísti Apóstolis tuis: Pacem relínquo vobis, pacem meam do vobis: ne respícias peccáta nostra, sed fidem Ecclésiae tuae; eámque secúndum voluntátem tuam pacificáre et coadunáre dignéris.</b> <font color=red size=-1> Iungit manus.</font> <b>Qui vivis et regnas in saecula saeculórum. </b>";"<b>Seigneur Jésus, qui as dit à tes Apôtres : ""Je vous laisse la paix, je vous donne ma paix"", ne regarde pas nos péchés, mais la Foi de ton Eglise ; et que selon ta volonté tu la trouves digne d'être en paix et rassemblée.</b> <font color=red size=-1> Joignant les mains.</font> <b>Toi qui règnes dans les siècles des siècles.</b>"
Amen.;Amen.
<b>Pax Dómini sit semper vobíscum.</b>;<b>Que la paix du Seigneur soit toujours avec vous.</b>
R/. Et cum spíritu tuo.;R/. Et avec votre esprit.
Diaconus : <b>Offérte vobis pacem.</b>;le Diacre : <b>Offrez-vous la paix.</b>
Agnus Dei, qui tollis peccáta mundi: miserére nobis. Agnus Dei, qui tollis peccáta mundi: miserére nobis. Agnus Dei, qui tollis peccáta mundi: dona nobis pacem. ;Agneau de Dieu, qui enlève les péchés du monde, aie pitié de nous. Agneau de Dieu, qui enlève les péchés du monde, aie pitié de nous. Agneau de Dieu, qui enlève les péchés du monde, donne-nous la paix.
<center><font color=red>Communio</font></center>;<center><font color=red>Communion</font></center>
<b>Ecce Agnus Dei, ecce qui tollit peccáta mundi. Beáti qui ad cenam Agni vocáti sunt. </b>;<b>Voici l'Agneau de Dieu, voici celui qui enlève les péchés du monde. Bienheureux ceux qui sont invités au festin de l'Agneau.</b>
R/. Dómine, non sum dignus, ut intres sub téctum meum, sed tantum dic verbo, et sanábitur ánima mea.;R/. Seigneur, je ne suis pas digne pour que tu entres sous mon toit, mais dis seulement une parole, et mon âme sera guérie.
#ANT_COMM;#ANT_COMM
<center><font color=red>Oratio post Communionem</font></center>;<center><font color=red>Prière après la communion</font></center>
<b>Orémus</b>;<b>Prions</b>
#ORA_POSTCOMMUNIO;#ORA_POSTCOMMUNIO
R/. Amen.;R/. Amen.
<center><b>RITUS CONCLUSIONIS</b></center>;<center><b>RITE DE CONCLUSION</b></center>
#ORA_SUPERPOP;#ORA_SUPERPOP
#BENSOL;#BENSOL
#BENE;#BENE
<center><font color=red>Dimissio</font></center>;<center><font color=red>Envoi</font></center>
#DIMISSIO;#DIMISSIO
