#JOUR;#JOUR
Sanctus, Sanctus, Sanctus Dóminus Deus Sábaoth. Pleni sunt caeli et terra glória tua. Hosánna in excélsis. Benedíctus qui venit in nómine Dómini. Hosánna in excélsis.;Saint, Saint, Saint le Seigneur Dieu Sabaoth. Le ciel et la terre sont abondant de ta gloire. Hosanna au plus des cieux. Béni soit qui vient au nom du Seigneur. Hosanna au plus haut des cieux.
<center><font color=red>Prex Eucharistia</font></center>;<center><font color=red>Prière Eucharistique</font></center>
#CANON;#CANON
Per ipsum, et cum ipso, et in ipso, est tibi Deo Patri omnipoténti, in unitáte Spíritus Sancti, omnis honor et glória per ómnia saecula saeculórum.;Par Lui, avec Lui et en Lui, il est Dieu le Père tout puissant, dans l'unité de l'Esprit Saint, tout honneur et toute gloire pour les siècles des siècles.
R/. Amen.;R/. Amen.
<center><font color=red><b>Ritus Communionis</b></font></center>;<center><font color=red><b>Rite de Communion</b></font></center>
<center><font color=red>Pater Noster</font></center>;<center><font color=red>Notre Père</font></center>
Praecéptis salutáribus móniti, et divína institutióne formáti, audémus dícere: ;Averti de la règle du salut, et formés par les institutions divines, nous osons dire :
R/. Pater noster, qui es in cælis: ;R/. Notre Père, qui es aux Cieux,
"sanctificétur nomen tuum; ";"que ton nom soit sanctifié;"
"advéniat regnum tuum; ";"que ton règne arrive; "
fiat volúntas tua, sicut in cælo et in terra.;que ta volonté soit faite au Ciel comme sur la terre.
"Panem nostrum cotidiánum da nobis hódie; ";Donne-nous aujourd'hui notre pain quotidien,
et dimítte nobis débita nostra, ;et remets-nous nos dettes,
"sicut et nos dimíttimus debitóribus nostris; ";"comme nous les remettons nous-mêmes à nos débiteurs ;"
"et ne nos indúcas in tentatiónem; ";et ne nous abandonne pas dans l’épreuve, 
sed líbera nos a malo.;mais délivre-nous du malin.
Líbera nos, quaesumus, Dómine, ab ómnibus malis, da propítius pacem in diébus nostris, ut, ope misericórdiae tuae adiúti, et a peccáto simus semper líberi et ab omni perturbatióne secúri: exspectántes beátam spem et advéntum Salvatóris nostri Iesu Christi. ;Libère nous, nous t'en prions, Seigneur, de tous maux, donne la paix propice à nos jours, pour, que secourus par le pouvoir de ta miséricorde, et que nous soyons pour toujours libérés du péché et tranquille devant tous troubles en attendant dans la bienheureuse espérance et la venue de notre Sauveur Jésus Christ.
R/. Quia tuum est regnum, et potéstas, et glória in saecula.;R/. Car c'est à Toi le règne, la puissance et la gloire dans les siècles.
<center><font color=red>Ritus Pacis</font></center>;<center><font color=red>Rite de Paix</font></center>
"Dómine Iesu Christe, qui dixísti Apóstolis tuis: Pacem relínquo vobis, pacem meam do vobis: ne respícias peccáta nostra, sed fidem Ecclésiae tuae; eámque secúndum voluntátem tuam pacificáre et coadunáre dignéris. <font color=red size=-1> Iungit manus.</font> Qui vivis et regnas in saecula saeculórum. ";"Seigneur Jésus, qui as dit à tes Apôtres : ""Je vous laisse la paix, je vous donne ma paix"", ne regardes pas nos péchés, mais la Foi de ton Eglise ; et que selon ta volonté tu la juges digne d'être en paix et unifiée. <font color=red size=-1> Joignant les mains.</font> Toi qui règnes dans les siècles des siècles."
R/. Amen.;R/. Amen.
Pax Dómini sit semper vobíscum.;Que la paix du Seigneur soit toujours avec vous.
R/. Et cum spíritu tuo.;R/. Et avec votre esprit.
Offérte vobis pacem. ;Offrez-vous la paix.
Agnus Dei, qui tollis peccáta mundi: miserére nobis. Agnus Dei, qui tollis peccáta mundi: miserére nobis. Agnus Dei, qui tollis peccáta mundi: dona nobis pacem. ;Agneau de Dieu, qui enlève les péchés du monde, aie pitié de nous. Agneau de Dieu, qui enlève les péchés du monde, aie pitié de nous. Agneau de Dieu, qui enlève les péchés du monde, donne-nous la paix.
<center><font color=red>Communio</font></center>;<center><font color=red>Communion</font></center>
Ecce Agnus Dei, ecce qui tollit peccáta mundi. Beáti qui ad cenam Agni vocáti sunt. ;Voici l'Agneau de Dieu, voici celui qui enlève les péchés du monde. Bienheureux ceux qui sont invités au festin de l'Agneau.
R/. Dómine, non sum dignus, ut intres sub téctum meum, sed tantum dic verbo, et sanábitur ánima mea.;R/. Seigneur, je ne suis pas digne pour que tu entres sous mon toit, mais dit seulement une parole, et mon âme sera guérie.
#ANT_COMM;#ANT_COMM
<center><font color=red>Oratio post Communionem</font></center>;<center><font color=red>Prière après la communion</font></center>
Orémus;Prions
#ORA_POSTCOMMUNIO;#ORA_POSTCOMMUNIO
R/. Amen.;R/. Amen.
<center><font color=red><b>Ritus Conclusionis</b></font></center>;<center><font color=red><b>Rite de conclusion</b></font></center>
#ORA_SUPERPOP;#ORA_SUPERPOP
#BENSOL;#BENSOL
#BENE;#BENE
<center><font color=red>Dimissio</font></center>;<center><font color=red>Envoi</font></center>
#DIMISSIO;#DIMISSIO
