HYMNUS_laudes;hy_Vox clara ecce íntonat, ;
ant6;María dixit: Qualis est ista salutátio? quia conturbáta est ánima mea, et quia paritúra sum Regem, qui claustrum virginitátis meæ non violábit.;Marie dit : quelle est cette salutation ? Mon âmeest troublée, et parce que je suis enceinte du Roi, quin'a pas brisé le sceau de ma virginité.
LB_3;LB_Ier 29, 11. 13;
RB_3;"V/. Timébunt gentes nomen tuum, Dómine.
R/. Et omnes reges terræ glóriam tuam.";"V/. Les nations craindront ton nom, Seigneur
R/. Et tous les rois de la terre, ta gloire."
oratio_3;Concéde, quæsumus, omnípotens Deus, plebi tuæ advéntum Unigéniti tui cum summa vigilántia exspectáre, ut, sicut ipse dócuit auctor nostræ salútis, accénsis lampádibus in eius occúrsum vigilántes properémus. Per Dóminum. ;Accorde à ton peuple, nous t'en prions, Dieu tout puissant, d'attendre avec la plus grande vigilance la venue de ton Fils unique, pour que, occupés à veiller, comme il nous l'a appris, nous nous hâtions à sa rencontre avec nos lampes allumées. 
LB_6;LB_Ier 30, 18a;
RB_6;"V/. Meménto nostri, Dómine, in beneplácito pópuli tui.
R/. Vísita nos in salutári tuo.";"V/. Souviens-toi, Seigneur , dans ta bonté pour tonpeuple,
R/. Visite-nous avec ton secours."
oratio_6;Concéde, quæsumus, omnípotens Deus, plebi tuæ advéntum Unigéniti tui cum summa vigilántia exspectáre, ut, sicut ipse dócuit auctor nostræ salútis, accénsis lampádibus in eius occúrsum vigilántes properémus. Per Dóminum. ;Accorde à ton peuple, nous t'en prions, Dieu tout puissant, d'attendre avec la plus grande vigilance la venue de ton Fils unique, pour que, occupés à veiller, comme il nous l'a appris, nous nous hâtions à sa rencontre avec nos lampes allumées. 
LB_9;LB_Bar 3, 5-6a;
RB_9;"V/. Veni, Dómine, et noli tardáre.
R/. Reláxa facínora plebi tuæ.";"V/. Viens, Seigneur, ne tarde pas.
R/. Remets à ton peuple ses péchés."
oratio_9;Concéde, quæsumus, omnípotens Deus, plebi tuæ advéntum Unigéniti tui cum summa vigilántia exspectáre, ut, sicut ipse dócuit auctor nostræ salútis, accénsis lampádibus in eius occúrsum vigilántes properémus. Per Dóminum. ;Accorde à ton peuple, nous t'en prions, Dieu tout puissant, d'attendre avec la plus grande vigilance la venue de ton Fils unique, pour que, occupés à veiller, comme il nous l'a appris, nous nous hâtions à sa rencontre avec nos lampes allumées. 
HYMNUS_vesperas;hy_Cónditor alme síderum;
ant7;Dómine, líbera ánimam meam de morte, pedes meos a lapsu. ;Seigneur, libère mon âme de la mort et mes pieds du faux-pas. 
ant8;Auxílium meum a Dómino, qui fecit cælum et terram. ;Mon secours vient du Seigneur, qui a fait le ciel et la terre. 
ant9;Iustæ et veræ sunt viæ tuæ, Rex sæculórum. ;Tes voies sont justes et vraies, Roi des siècles. 
LB_soir;LB_2 Petr 3, 8b-9;
RB_soir;"R/. Veni ad liberándum nos,* Dómine Deus virtútum. Veni.
V/. Osténde fáciem tuam, et salvi érimus.* Dómine Deus virtútum. Glória Patri. Veni. ";"R/. Viens nous libérer,* Seigneur, Dieu de force. Viens.
V/. Montre-nous ta face, et nous serons sauvés. * Seigneur, Dieu de force. Gloire au Père. Viens. "
magnificat;Hauriétis aquas in gáudio de fóntibus Salvatóris. ;
oratio_vesperas;Concéde, quæsumus, omnípotens Deus, plebi tuæ advéntum Unigéniti tui cum summa vigilántia exspectáre, ut, sicut ipse dócuit auctor nostræ salútis, accénsis lampádibus in eius occúrsum vigilántes properémus. Per Dóminum. ;Accorde à ton peuple, nous t'en prions, Dieu tout puissant, d'attendre avec la plus grande vigilance la venue de ton Fils unique, pour que, occupés à veiller, comme il nous l'a appris, nous nous hâtions à sa rencontre avec nos lampes allumées. 
preces_soir;preces_IX;
