HYMNUS_laudes;hy_Vox clara ecce íntonat, ;
ant5;"Gábriel ángelus locútus est Maríæ, dicens: Ave, grátia plena; Dóminus tecum; benedícta tu inter mulíeres.";"L'ange Gabriel s'adressa à Marie en disant : Salut,pleine de grâce ; le Seigneur est avec vous ; vous êtesbénie entre les femmes."
ant6;María dixit: Qualis est ista salutátio? quia conturbáta est ánima mea, et quia paritúra sum Regem, qui claustrum virginitátis meæ non violábit.;Marie dit : quelle est cette salutation ? Mon âmeest troublée, et parce que je suis enceinte du Roi, quin'a pas brisé le sceau de ma virginité.
LB_3;LB_Is 2, 11;
RB_3;"V/. Timébunt gentes nomen tuum, Dómine.
R/. Et omnes reges terræ glóriam tuam.";"V/. Les nations craindront ton nom, Seigneur
R/. Et tous les rois de la terre, ta gloire."
oratio_3;Præpara, quæsumus, Dómine Deus noster, cordanostra divína tua virtúte, ut, veniénte Christo Filio tuo,digni inveniámur ætérnæ vitæ convívio, et cibum cæléstem, ipso ministránte, percípere méreamur. PerDóminum ;Seigneur notre Dieu, nous t'en prions, prépare nos coeurs par ta force divine, afin qu'à la venue du Christ ton Fils, nous soyons trouvés dignes du banquet de la vie éternelle, et recevions de sa main la nourriture céleste. 
LB_6;LB_Is 12, 2;
RB_6;"V/. Meménto nostri, Dómine, in beneplácito pópuli tui.
R/. Vísita nos in salutári tuo.";"V/. Souviens-toi, Seigneur , dans ta bonté pour tonpeuple,
R/. Visite-nous avec ton secours."
oratio_6;Præpara, quæsumus, Dómine Deus noster, cordanostra divína tua virtúte, ut, veniénte Christo Filio tuo,digni inveniámur ætérnæ vitæ convívio, et cibum cæléstem, ipso ministránte, percípere méreamur. PerDóminum ;Seigneur notre Dieu, nous t'en prions, prépare nos coeurs par ta force divine, afin qu'à la venue du Christ ton Fils, nous soyons trouvés dignes du banquet de la vie éternelle, et recevions de sa main la nourriture céleste. 
LB_9;LB_Dan 9, 19;
RB_9;"V/. Veni, Dómine, et noli tardáre.
R/. Reláxa facínora plebi tuæ.";"V/. Viens, Seigneur, ne tarde pas.
R/. Remets à ton peuple ses péchés."
oratio_9;Præpara, quæsumus, Dómine Deus noster, cordanostra divína tua virtúte, ut, veniénte Christo Filio tuo,digni inveniámur ætérnæ vitæ convívio, et cibum cæléstem, ipso ministránte, percípere méreamur. PerDóminum ;Seigneur notre Dieu, nous t'en prions, prépare nos coeurs par ta force divine, afin qu'à la venue du Christ ton Fils, nous soyons trouvés dignes du banquet de la vie éternelle, et recevions de sa main la nourriture céleste. 
HYMNUS_vesperas;hy_Cónditor alme síderum;
ant7;Dóminus illuminátio mea et salus mea, quemtimébo? ;Le Seigneur est ma lumière et mon salut, de qui aurai-je peur ? 
ant8;Vultum tuum, Dómine, requíram: ne avértas fáciem tuam a me. ;Seigneur, je cherche ton visage : ne me cache pas ta face. 
ant9;Ipse primogénitus omnis creatúræ, in ómnibus primátum tenens. ;Voici le premier né avant toute créature, à lui la primauté sur toutes choses. 
LB_soir;LB_1 Cor 4, 5;
RB_soir;"R/. Veni ad liberándum nos,* Dómine Deus virtútum. Veni.
V/. Osténde fáciem tuam, et salvi érimus.* DómineDeus virtútum. Glória Patri. Veni.";"R/. Viens nous libérer,* Seigneur, Dieu de force. Viens.
V/. Montre-nous ta face, et nous serons sauvés. * Seigneur, Dieu de force. Gloire au Père. Viens. "
magnificat;De Sion exíbit lex, et verbum Dómini de Ierúsalem. ;De Sion sortira la loi, et de Jérusalem la parole du Seigneur. 
oratio_vesperas;Præpara, quæsumus, Dómine Deus noster, cordanostra divína tua virtúte, ut, veniénte Christo Filio tuo,digni inveniámur ætérnæ vitæ convívio, et cibum cæléstem, ipso ministránte, percípere méreamur. PerDóminum ;Seigneur notre Dieu, nous t'en prions, prépare nos coeurs par ta force divine, afin qu'à la venue du Christ ton Fils, nous soyons trouvés dignes du banquet de la vie éternelle, et recevions de sa main la nourriture céleste. 
preces_soir;preces_V;
