HYMNUS_laudes;hy_Aurora lucis rutilat;;
oratio_3;Annue nobis, quæsumus, Dómine, ut, quemádmodum mystério resurrectiónis Fílii tui sollémnia cólimus, ita et in advéntu eius gaudére cum sanctis ómnibus mereámur. Per Dóminum.;Daigne nous accorder, nous t’en supplions, Seigneur, que de même que nous honorons par nos célébrations les jours solennels de la résurrection de ton Fils, nous méritions aussi lors de sa venue de nous réjouir avec tous les saints.;
LB_6;LB_1 Io 5, 5-6a;;
RB_6;"V/. Gavísi sunt discípuli, allelúia. 
R/. Viso Dómino, allelúia.";"V/. Les disciples furent dans la joie, alléluia. 
R/. En voyant le Seigneur, alléluia.";Jean XX 20
oratio_6;Annue nobis, quæsumus, Dómine, ut, quemádmodum mystério resurrectiónis Fílii tui sollémnia cólimus, ita et in advéntu eius gaudére cum sanctis ómnibus mereámur. Per Dóminum.;Daigne nous accorder, nous t’en supplions, Seigneur, que de même que nous honorons par nos célébrations les jours solennels de la résurrection de ton Fils, nous méritions aussi lors de sa venue de nous réjouir avec tous les saints.;
LB_9;LB_Eph 4, 23-24;;
RB_9;"V/. Mane nobíscum, Dómine, allelúia. 
R/. Quóniam advesperáscit, allelúia.";"V/. Reste avec nous, Seigneur, alléluia. 
R/. Car le soir tombe, alléluia.";Luc XXIV 29
oratio_9;Annue nobis, quæsumus, Dómine, ut, quemádmodum mystério resurrectiónis Fílii tui sollémnia cólimus, ita et in advéntu eius gaudére cum sanctis ómnibus mereámur. Per Dóminum.;Daigne nous accorder, nous t’en supplions, Seigneur, que de même que nous honorons par nos célébrations les jours solennels de la résurrection de ton Fils, nous méritions aussi lors de sa venue de nous réjouir avec tous les saints.;
HYMNUS_vesperas;hy_Iesu, nostra redémptio;;
ant7;"Exívi a Patre et veni in mundum; íterum relínquo mundum et vado ad Patrem, allelúia.";"Je suis sorti du Père, et je suis venu dans le monde; maintenant je quitte le monde et je vais au Père, alléluia.";Jn XVI 28
ps7;ps112;;
ant8;Dóminus Iesus, postquam locútus est discípulis suis, ascéndit in cælum et sedet a dextris Dei, allelúia.;Après leur avoir (ainsi) parlé, le Seigneur Jésus fut enlevé au ciel et s'assit à la droite de Dieu, alléluia.;Mc XVI 19
ps8;ps116;;
ant9;Nemo ascéndit in cælum, nisi qui de cælo descéndit, Fílius hóminis, qui est in cælo, allelúia.;Et nul n'est monté au ciel si ce n'est celui qui est descendu du ciel, le Fils de l'homme qui est dans le  ciel, alléluia.;Jn III 13
ps9;NT10;;
LB_soir;LB_Eph 2, 4-6;;
RB_soir;"R/. Ascéndit Deus in iubilatióne, *Allelúia, allelúia. Ascéndit. 
V/. Et Dóminus in voce tubæ. *Allelúia, allelúia. Glória Patri. Ascéndit.";"R/. Dieu monte à son sanctuaire au milieu des acclamations, *Alléluia, alléluia. Dieu monte. 
V/. Et le Seigneur au son de la trompette. *Alléluia, alléluia. Gloire au Père. Dieu monte.";Ps XLVII 6
magnificat;"Pater, manifestávi nomen tuum homínibus, quos dedísti mihi; nunc autem pro eis rogo, non pro mundo, quia ad te vénio, allelúia.";J'ai manifesté ton nom aux hommes que tu m'as donnés, C'est pour eux que je prie. Je ne prie pas pour le monde, et moi, je vais à toi, alléluia.;Jn XVII 6.9.11
oratio_vesperas;Fac nos, omnípotens Deus, sanctis exsultáre gáudiis, et pia gratiárum actióne lætári, quia Christi Fílii tui ascénsio est nostra provéctio, et, quo procéssit glória cápitis, eo spes vocátur et córporis. Per Dóminum.;"Fais-nous, Dieu tout puissant,exulter d'une joie sainte
et te remercier d'une action de grâce dévote,
car l'ascension du Christ ton Fils est notre avancement, et l'espoir pour le Corps d'être appelé à l'endroit où parvient la gloire de la Tête.";
preces_soir;preces_XIV;;
