HYMNUS_laudes;hy_Deus, qui cæli lumen es;
oratio_9;Dómine Iesu Christe, qui pæniténtem latrónem de patíbulo crucis in regnum tuum transíre fecísti, peccáta nostra confiténtes te cum fidúcia deprecámur, ut post mortem nos fácias paradísi portas introíre gaudéntes. Qui vivis.;Seigneur Jésus Christ, toi qui as fait passer de la croix dans ton Royaume le malfaiteur qui reconnaissait ses fautes, nous te supplions avec confiance en confessant nos péchés: fais-nous passer, après notre mort, les portes du paradis dans la joie. Toi qui règnes.
HYMNUS_vesperas;hy_Horis peráctis úndecim;
ant7;Per síngulos dies benedícam tibi, Dómine, et mirabília tua narrábo.;Chaque jour, je te bénirai, Seigneur, et je raconterai tes merveilles.
ant8;"Oculi ómnium in te sperant, Dómine; prope es ómnibus invocántibus te.";Les yeux de tous, Seigneur, attendent tournés vers toi, tu es proche de tous ceux qui t’invoquent.
ant9;Iustæ et veræ sunt viæ tuæ, Rex sæculórum.;Tes voies sont justes et vraies, Roi des siècles.
LB_soir;LB_Rom 8, 1-2;
RB_soir;"R/. Christus mórtuus est pro peccátis nostris, * Ut nos offérret Deo. Christus.
V/. Mortificátus quidem carne, vivificátus autem Spíritu. * Ut nos offérret Deo. Glória Patri. Christus.";"R/. Le Christ est mort pour nos péchés, * afin de nous ramener à Dieu. Le Christ.
V/. Mis à mort selon la chair, mais rendu à la vie selon l'esprit. * afin de nous ramener à Dieu. Gloire au Père. Le Christ."
magnificat;Recordáre, Dómine, misericórdiæ tuæ, sicut locútus es ad patres nostros.;Souviens-toi, Seigneur, de ta miséricorde, comme tu l’as promis à nos pères.
oratio_vesperas;Omnípotens et miséricors Deus, qui Christum tuum pati pro totíus mundi salúte voluísti, concéde plebi tuæ, ut in hóstiam vivam tibi conténdat offérri, et amóris tui váleat plenitúdine satiári. Per Dóminum.;Dieu, qui as voulu sauver le monde par la passion de ton Christ, fais maintenant de ton peuple une vivante offrande à ta gloire et donne-lui ton Esprit d’Amour. Par Jésus-Christ.
preces_soir;preces_XVIII
